Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,2.078392,438.0,1199.0019174270112,0.41592562,-1.0,-1.0,1.0
20000,2.0785284,None,None,0.21265204,None,None,1.0
30000,2.0748198,None,None,0.15876684,None,None,1.0
40000,2.0722878,2626.0,1198.5043131693246,0.090083,-1.0,-1.0,1.0
50000,2.0740833,5518.428571428572,1198.66224746879,0.08931223,0.0,0.0,1.0
60000,2.0677366,2245.3333333333335,1199.203843954973,0.21752812,0.5,0.5,1.0
70000,2.0616958,None,None,0.14998248,None,None,1.0
80000,2.0596242,2043.0,1199.0354495017475,0.087943226,-1.0,-1.0,1.0
90000,2.0657008,4383.0,1198.5382215047732,0.14160739,-1.0,-1.0,1.0
100000,2.062157,5999.0,1197.706794158498,0.052556597,-1.0,-1.0,1.0
110000,2.0616705,5999.0,1197.4239193431147,0.11414836,-0.2,-0.2,1.0
120000,2.0577693,None,None,0.1338534,None,None,1.0
130000,2.0507421,4438.5,1197.5545522049865,0.15342191,1.0,1.0,1.0
140000,2.0504322,5999.0,1197.5587999741688,0.120834194,0.0,0.0,1.0
150000,2.0481644,None,None,0.11511563,None,None,1.0
160000,2.0292783,5999.0,1197.572832454204,0.10398515,0.0,0.0,1.0
170000,2.0463488,5158.5,1197.832257594482,0.1013921,0.5,0.5,1.0
180000,2.0391479,5999.0,1198.0842586634772,0.08831243,0.0,0.0,1.0
190000,2.0426855,4735.0,1198.0838818554244,0.074307114,1.0,1.0,1.0
200000,2.046822,5999.0,1198.0831304083954,0.094354756,0.0,0.0,1.0
210000,2.046461,666.8,1197.5991485723764,0.051893596,-0.4,-0.4,1.0
220000,2.0436141,1704.5,1197.8565929423285,0.022928221,0.5,0.5,1.0
230000,2.040606,3384.0,1198.604722244667,0.03512387,0.5,0.5,1.0
240000,2.039793,2528.0,1199.1022303736893,0.029816337,0.5,0.5,1.0
250000,2.0359569,None,None,0.027765205,1.0,1.0,1.0
260000,2.0340924,4961.75,1199.726688923891,0.00078604964,0.25,0.25,1.0
270000,2.0571208,5999.0,1199.6015890860485,0.028111214,-1.0,-1.0,1.0
280000,2.0400054,5172.666666666667,1199.438948092982,0.027970264,0.0,0.0,1.0
290000,2.043872,938.0,1198.6020135067795,0.017325327,-1.0,-1.0,1.0
300000,2.0492465,5863.0,1198.5997714610287,0.023898797,0.0,0.0,1.0
310000,2.0493762,5999.0,1198.595822532799,0.022743288,0.0,0.0,1.0
320000,2.0468192,3440.0,1199.0973006866395,0.04305215,None,None,1.0
330000,2.0492601,4657.25,1199.3441276069275,0.049645204,0.25,0.25,1.0
340000,2.0516093,5999.0,1199.584858770841,0.058321483,0.0,0.0,1.0
350000,2.0397031,None,None,0.04943544,None,None,1.0
360000,2.0442636,5999.0,1199.579521104923,0.052120082,0.0,0.0,1.0
370000,2.0481894,4824.333333333333,1199.5772371433507,0.06266339,-0.25,-0.25,1.0
380000,2.0422926,3429.0,1199.9057884265983,0.055115316,0.0,0.0,1.0
390000,2.0375533,2364.3333333333335,1199.2399225442268,0.03717767,0.0,0.0,1.0
400000,2.0484698,5999.0,1200.0677355529062,0.032411017,1.0,1.0,1.0
410000,2.035149,899.4285714285714,1199.991320700276,0.01788212,0.0,0.0,1.0
420000,2.0422933,1252.5,1199.7933608137137,0.015361987,0.0,0.0,1.0
430000,2.037882,3204.0,1199.5380777709747,-0.002788308,0.0,0.0,1.0
440000,2.0557868,3092.5,1199.2858374892971,-0.04496619,-0.5,-0.5,1.0
