Steps,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
50000,0.021326013,0.5451794,2.0792444,2804.0,1200.5,1.0,1.0,0.0,1.0
60000,0.035643004,0.5568703,2.0792458,None,None,None,None,None,1.0
70000,0.013428243,0.54231435,2.079245,None,None,None,None,None,1.0
80000,0.023712376,0.54501283,2.0792458,None,None,None,None,None,1.0
90000,0.0055738827,0.55745405,2.07925,None,None,None,None,None,1.0
100000,0.008343111,0.5405401,2.0792534,2536.0,1200.0,None,None,None,1.0
110000,-0.024679435,0.5596806,2.0792475,5999.0,1199.56902467594,-0.2,-0.2,0.0,1.0
120000,0.022164922,0.52311265,2.0792387,5999.0,1199.0141176522263,-0.1,-0.1,0.0,1.0
130000,0.030289184,0.56799215,2.0792382,None,None,None,None,None,1.0
140000,0.04153525,0.5588863,2.0792358,None,None,None,None,None,1.0
150000,0.027466923,0.57146865,2.079235,None,None,None,None,None,1.0
160000,0.041355178,0.54897165,2.0792367,None,None,None,None,None,1.0
170000,0.0371627,0.5666599,2.0792398,None,None,None,None,None,1.0
180000,0.047072005,0.5387496,2.0792394,None,None,None,None,None,1.0
190000,0.031351753,0.56529915,2.0792406,None,None,None,None,None,1.0
200000,0.046182353,0.53404295,2.0792403,None,None,None,None,None,1.0
210000,-0.0060005714,0.59727305,2.0792465,997.0,1199.0141176522263,0.0,0.0,0.0,1.0
220000,-0.00821601,0.55142653,2.0792491,None,None,None,None,None,1.0
230000,-0.01335907,0.56515807,2.079253,1654.3125,1198.6634918253656,-0.07142857142857142,-0.07142857142857142,0.0,1.0
240000,-0.052772816,0.58148324,2.0792382,1737.6666666666667,1198.1752378703798,-0.2,-0.2,0.0,1.0
250000,-0.011045212,0.59388816,2.0792465,None,None,None,None,None,1.0
260000,-0.055294365,0.5642942,2.0792418,None,None,None,None,None,1.0
270000,-0.010142224,0.5944317,2.079236,None,None,None,None,None,1.0
280000,-0.040286653,0.5612994,2.0792418,None,None,None,None,None,1.0
290000,-0.0082231555,0.56640124,2.0792422,None,None,None,None,None,1.0
300000,-0.0395988,0.560887,2.0792434,None,None,None,None,None,1.0
310000,0.005392782,0.56641686,2.0792484,None,None,None,None,None,1.0
320000,-0.036830492,0.5670753,2.079251,None,None,None,None,None,1.0
330000,-0.014961131,0.5453552,2.0792527,None,None,None,None,None,1.0
340000,-0.022617128,0.5643952,2.0792513,5999.0,1197.7499533416328,-0.16666666666666666,-0.16666666666666666,0.0,1.0
350000,-0.030539583,0.54333746,2.0792415,5999.0,1197.3076093767938,0.0,0.0,0.0,1.0
360000,-0.022712622,0.58691627,2.079238,5999.0,1197.6114256000292,0.0,0.0,0.0,1.0
370000,-0.0023302739,0.5974387,2.0792358,None,None,None,None,None,1.0
380000,-0.050135545,0.558018,2.0792425,None,None,None,None,None,1.0
390000,-0.0028980775,0.5904961,2.0792418,None,None,None,None,None,1.0
400000,-0.0363967,0.51691794,2.079249,None,None,None,None,None,1.0
410000,0.0207433,0.5585595,2.0792565,None,None,None,None,None,1.0
420000,0.018091828,0.51832193,2.0792599,None,None,None,None,None,1.0
