Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Episode Length,Self-play/ELO,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
80000,2.0791268,-0.319212,0.23498042,5999.0,1200.0,0.0,0.0,0.0,1.0
90000,2.0791214,-0.3302307,0.22829616,5999.0,1199.5743989581463,-0.125,-0.125,0.0,1.0
100000,2.0791306,-0.34409934,0.23778787,5999.0,1199.5064429509807,None,None,None,1.0
110000,2.0791233,-0.3348071,0.22183207,None,None,0.0,0.0,0.0,1.0
120000,2.0791428,-0.35271004,0.2394385,5999.0,1199.0078645421854,-1.0,-1.0,0.0,1.0
130000,2.079143,-0.360554,0.24493778,None,None,None,None,None,1.0
140000,2.0791347,-0.33969766,0.23597777,None,None,None,None,None,1.0
150000,2.0791402,-0.32883176,0.23741889,None,None,None,None,None,1.0
160000,2.0791433,-0.35580212,0.22720806,None,None,None,None,None,1.0
170000,2.0791357,-0.3229399,0.23377204,5999.0,1198.601513880207,-0.125,-0.125,0.0,1.0
