Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,5.520527,879.9166666666666,1199.922579675508,0.114185445,0.09090909090909091,0.09090909090909091,1.0
20000,5.5206695,971.0,1199.164777085896,0.12657157,-0.2,-0.2,1.0
30000,5.5205383,553.7777777777778,1198.1647416304684,0.09987864,0.0,0.0,1.0
40000,5.520565,709.8571428571429,1200.0234959483626,0.09800765,0.21428571428571427,0.21428571428571427,1.0
50000,5.520557,836.0833333333334,1201.3526599376853,0.103984095,0.16666666666666666,0.16666666666666666,1.0
60000,5.52057,839.6666666666666,1202.2496527262927,0.1022006,0.16666666666666666,0.16666666666666666,1.0
70000,5.5176635,878.9090909090909,1201.6463638859098,0.1036288,-0.2727272727272727,-0.2727272727272727,1.0
80000,5.515729,781.7692307692307,1202.312488942577,0.117851675,0.5384615384615384,0.5384615384615384,1.0
90000,5.5163984,819.8333333333334,1203.1626141228355,0.09229451,0.16666666666666666,0.16666666666666666,1.0
100000,5.516709,1228.25,1203.567107485219,0.09779421,-0.1111111111111111,-0.1111111111111111,1.0
110000,5.513662,1211.5714285714287,1202.9891219634296,0.083477326,0.0,0.0,1.0
120000,5.513982,1361.888888888889,1203.6912598636748,0.085464574,0.125,0.125,1.0
130000,5.5137043,1393.3333333333333,1204.8787623133883,0.08931845,0.2857142857142857,0.2857142857142857,1.0
140000,5.510193,1126.4,1205.7267071300148,0.073057875,0.2222222222222222,0.2222222222222222,1.0
150000,5.5119987,993.5,1207.243818350376,0.0641828,0.2,0.2,1.0
160000,5.5080466,1004.75,1207.0460695903025,0.07724386,-0.3333333333333333,-0.3333333333333333,1.0
170000,5.5093617,1389.375,1206.0568148902444,0.060255043,-0.125,-0.125,1.0
180000,5.5084143,1089.3333333333333,1206.5305763894596,0.081966326,0.1111111111111111,0.1111111111111111,1.0
190000,5.5076838,1135.0,1205.5559705870546,0.055752706,-0.1111111111111111,-0.1111111111111111,1.0
200000,5.502535,1082.3333333333333,1205.1670454170287,0.06428259,0.0,0.0,1.0
210000,5.5020804,931.0909090909091,1205.693563584569,0.0801426,0.0,0.0,1.0
220000,5.50326,1768.4,1206.2432757652841,0.07787381,0.0,0.0,1.0
230000,5.50225,1127.2,1205.160981166423,0.08092236,-0.1111111111111111,-0.1111111111111111,1.0
240000,5.4978414,1187.5,1204.0151636735036,0.082688436,-0.25,-0.25,1.0
250000,5.5032983,1239.0,1206.6335890580528,0.07617558,0.625,0.625,1.0
260000,5.488967,681.5,1206.2990759501258,0.07186215,-0.2,-0.2,1.0
270000,5.4918237,1126.111111111111,1204.8694458985196,0.07189429,-0.4444444444444444,-0.4444444444444444,1.0
280000,5.492694,1480.857142857143,1204.3837819135877,0.0670333,-0.16666666666666666,-0.16666666666666666,1.0
290000,5.495998,979.7,1204.3749179824122,0.07071915,0.09090909090909091,0.09090909090909091,1.0
300000,5.4934134,1124.6666666666667,1204.1679341279798,0.06683871,0.0,0.0,1.0
310000,5.4900026,816.0,1204.6192439618565,0.073217355,0.0,0.0,1.0
320000,5.494999,1414.875,1204.6192286130008,0.050085492,0.14285714285714285,0.14285714285714285,1.0
330000,5.4901724,1166.125,1204.5770266138566,0.041718733,-0.4444444444444444,-0.4444444444444444,1.0
340000,5.490184,1601.4285714285713,1202.788943446738,0.044928525,0.0,0.0,1.0
350000,5.4834247,1216.75,1204.526970511296,0.05814922,0.375,0.375,1.0
360000,5.485969,1085.625,1203.4815153614584,0.053435516,0.0,0.0,1.0
370000,5.491772,899.5833333333334,1205.486736290031,0.051928073,0.18181818181818182,0.18181818181818182,1.0
380000,5.4769545,615.0666666666667,1205.1249031145003,0.047436308,-0.25,-0.25,1.0
390000,5.4682126,748.2,1206.1828934257285,0.048554245,0.0,0.0,1.0
400000,5.4801793,1199.375,1206.8178361119308,0.04889055,0.0,0.0,1.0
410000,5.479652,1355.6666666666667,1206.6128358794283,0.036935233,-0.14285714285714285,-0.14285714285714285,1.0
420000,5.486061,1342.0,1206.5614876899592,0.03471069,0.5,0.5,1.0
430000,5.485283,1301.0,1206.841659165465,0.035657734,-0.25,-0.25,1.0
440000,5.477767,1134.0,1205.1891765583507,0.037759837,-0.7777777777777778,-0.7777777777777778,1.0
